pm10,pm25,so2,co,o3,no2,categori
64,103,43,16,27,17,TIDAK SEHAT
60,99,45,10,34,17,SEDANG
67,112,19,13,31,24,TIDAK SEHAT
65,98,33,13,31,20,SEDANG
73,116,37,17,20,17,TIDAK SEHAT
64,117,37,11,22,14,TIDAK SEHAT
75,138,38,11,27,13,TIDAK SEHAT
55,94,37,9,28,17,SEDANG
51,78,37,12,23,19,SEDANG
57,85,36,---,26,17,SEDANG
15,34,24,3,16,4,BAIK
35,58,38,7,19,16,SEDANG
21,47,20,6,22,12,BAIK
62,102,20,30,19,37,TIDAK SEHAT
47,76,24,12,22,28,SEDANG
30,54,31,4,18,6,SEDANG
25,42,30,4,17,6,BAIK
32,55,51,5,14,12,SEDANG
52,77,34,7,18,21,SEDANG
45,77,31,9,24,18,SEDANG
46,75,50,9,31,18,SEDANG
58,90,30,19,21,31,SEDANG
50,78,30,15,30,27,SEDANG
48,79,31,12,27,23,SEDANG
54,88,23,24,30,42,SEDANG
55,88,29,18,23,44,SEDANG
67,118,29,16,28,31,TIDAK SEHAT
55,93,29,11,32,16,SEDANG
62,108,32,13,32,19,TIDAK SEHAT
51,88,32,9,28,20,SEDANG
62,105,25,15,25,25,TIDAK SEHAT
56,96,26,9,39,17,SEDANG
66,111,26,12,33,22,TIDAK SEHAT
60,99,29,12,37,24,SEDANG
58,97,23,12,27,19,SEDANG
52,82,28,10,26,19,SEDANG
56,95,33,9,28,18,SEDANG
49,81,21,10,26,22,SEDANG
43,73,22,14,26,25,SEDANG
52,83,23,12,28,23,SEDANG
52,71,23,10,20,33,SEDANG
50,67,22,9,18,17,SEDANG
53,70,26,10,20,20,SEDANG
59,77,31,14,14,26,SEDANG
58,82,22,18,14,38,SEDANG
49,65,19,16,18,38,SEDANG
54,70,20,26,19,45,SEDANG
52,69,20,12,19,28,SEDANG
41,57,18,9,26,21,SEDANG
47,69,19,10,25,21,SEDANG
60,88,24,12,25,24,SEDANG
59,79,21,10,25,21,SEDANG
70,110,24,14,24,20,TIDAK SEHAT
52,72,24,8,25,14,SEDANG
51,67,26,11,20,19,SEDANG
51,65,23,8,20,16,SEDANG
47,65,22,11,24,24,SEDANG
40,54,24,10,23,26,SEDANG
52,69,23,17,19,36,SEDANG
57,79,24,12,23,27,SEDANG
52,76,24,15,22,34,SEDANG
